Cidade,Transportadora,Prazo,Capital/Interior
ARARANGUA,RODONAVES,SC,5,INTERIOR
BALNEARIO ARROIO DO SILVA,RODONAVES,SC,5,INTERIOR
BALNEARIO GAIVOTA,RODONAVES,SC,5,INTERIOR
BALNEARIO RINCAO,RODONAVES,SC,5,INTERIOR
COCAL DO SUL,RODONAVES,SC,5,INTERIOR
CRICIUMA,RODONAVES,SC,5,INTERIOR
ERMO,RODONAVES,SC,5,INTERIOR
FORQUILHINHA,RODONAVES,SC,5,INTERIOR
ICARA,RODONAVES,SC,5,INTERIOR
JACINTO MACHADO,RODONAVES,SC,8,INTERIOR
MAMPITUBA,RODONAVES,RS,6,INTERIOR
MARACAJA,RODONAVES,SC,5,INTERIOR
MELEIRO,RODONAVES,SC,5,INTERIOR
MORRO DA FUMACA,RODONAVES,SC,5,INTERIOR
MORRO GRANDE,RODONAVES,SC,9,INTERIOR
NOVA VENEZA,RODONAVES,SC,5,INTERIOR
PASSO DE TORRES,RODONAVES,SC,6,INTERIOR
PRAIA GRANDE,RODONAVES,SC,6,INTERIOR
SANTA ROSA DO SUL,RODONAVES,SC,6,INTERIOR
SAO JOAO DO SUL,RODONAVES,SC,6,INTERIOR
SIDEROPOLIS,RODONAVES,SC,5,INTERIOR
SOMBRIO,RODONAVES,SC,5,INTERIOR
TIMBE DO SUL,RODONAVES,SC,9,INTERIOR
TREVISO,RODONAVES,SC,5,INTERIOR
TURVO,RODONAVES,SC,5,INTERIOR
URUSSANGA,RODONAVES,SC,5,INTERIOR
ADRIANOPOLIS,RODONAVES,PR,6,CAPITAL
AGUDOS DO SUL,RODONAVES,PR,6,CAPITAL
ALMIRANTE TAMANDARE,RODONAVES,PR,5,CAPITAL
ANTONINA,RODONAVES,PR,5,INTERIOR
ARAUCARIA,RODONAVES,PR,5,CAPITAL
BALSA NOVA,RODONAVES,PR,7,CAPITAL
BOCAIUVA DO SUL,RODONAVES,PR,6,CAPITAL
BORDA DO CAMPO,RODONAVES,PR,5,CAPITAL
CAMPINA GRANDE DO SUL,RODONAVES,PR,5,CAPITAL
CAMPO LARGO,RODONAVES,PR,5,CAPITAL
CAMPO MAGRO,RODONAVES,PR,5,CAPITAL
CERRO AZUL,RODONAVES,PR,6,CAPITAL
COLOMBO,RODONAVES,PR,5,CAPITAL
CONTENDA,RODONAVES,PR,5,CAPITAL
CURITIBA,RODONAVES,PR,5,CAPITAL
DOUTOR ULYSSES,RODONAVES,PR,6,CAPITAL
FAZENDA RIO GRANDE,RODONAVES,PR,5,CAPITAL
GUARAQUECABA,RODONAVES,PR,9,CAPITAL
GUARATUBA,RODONAVES,PR,9,INTERIOR
ITAPERUCU,RODONAVES,PR,5,CAPITAL
LAPA,RODONAVES,PR,5,CAPITAL
MANDIRITUBA,RODONAVES,PR,5,CAPITAL
MATINHOS,RODONAVES,PR,6,INTERIOR
MORRETES,RODONAVES,PR,5,INTERIOR
PARANAGUA,RODONAVES,PR,5,INTERIOR
PINHAIS,RODONAVES,PR,5,CAPITAL
PIRAQUARA,RODONAVES,PR,5,CAPITAL
PONTAL DO PARANA,RODONAVES,PR,5,INTERIOR
QUATRO BARRAS,RODONAVES,PR,5,CAPITAL
QUITANDINHA,RODONAVES,PR,5,CAPITAL
RIO BRANCO DO SUL,RODONAVES,PR,5,CAPITAL
SAO JOSE DOS PINHAIS,RODONAVES,PR,4,CAPITAL
TIJUCAS DO SUL,RODONAVES,PR,5,CAPITAL
TUNAS DO PARANA,RODONAVES,PR,6,CAPITAL
ALTAMIRA DO PARANA,RODONAVES,PR,9,INTERIOR
ARARUNA,RODONAVES,PR,6,INTERIOR
BARBOSA FERRAZ,RODONAVES,PR,9,INTERIOR
BOA ESPERANCA,RODONAVES,PR,9,INTERIOR
CAMPINA DA LAGOA,RODONAVES,PR,7,INTERIOR
CAMPO MOURAO,RODONAVES,PR,5,INTERIOR
CORUMBATAI DO SUL,RODONAVES,PR,9,INTERIOR
ENGENHEIRO BELTRAO,RODONAVES,PR,9,INTERIOR
FAROL,RODONAVES,PR,7,INTERIOR
FENIX,RODONAVES,PR,9,INTERIOR
GOIOERE,RODONAVES,PR,6,INTERIOR
IRETAMA,RODONAVES,PR,9,INTERIOR
JANIOPOLIS,RODONAVES,PR,7,INTERIOR
JURANDA,RODONAVES,PR,7,INTERIOR
LUIZIANA,RODONAVES,PR,9,INTERIOR
MAMBORE,RODONAVES,PR,7,INTERIOR
MARILUZ,RODONAVES,PR,9,INTERIOR
MATO RICO,RODONAVES,PR,9,INTERIOR
MOREIRA SALES,RODONAVES,PR,7,INTERIOR
NOVA CANTU,RODONAVES,PR,9,INTERIOR
NOVA TEBAS,RODONAVES,PR,9,INTERIOR
PARANA D'OESTE,RODONAVES,PR,10,INTERIOR
PEABIRU,RODONAVES,PR,6,INTERIOR
QUARTO CENTENARIO,RODONAVES,PR,10,INTERIOR
QUINTA DO SOL,RODONAVES,PR,9,INTERIOR
RANCHO ALEGRE D'OESTE,RODONAVES,PR,10,INTERIOR
RONCADOR,RODONAVES,PR,9,INTERIOR
UBIRATA,RODONAVES,PR,7,INTERIOR
CARMO DA MATA,RODONAVES,MG,7,INTERIOR
CARMO DO CAJURU,RODONAVES,MG,9,INTERIOR
CARMOPOLIS DE MINAS,RODONAVES,MG,9,INTERIOR
CLAUDIO,RODONAVES,MG,6,INTERIOR
DIVINOPOLIS,RODONAVES,MG,5,INTERIOR
ITAGUARA,RODONAVES,MG,9,INTERIOR
MARILANDIA,RODONAVES,MG,9,INTERIOR
